date,country,H,I,S,M,D
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Japan,122,0,0,0,0
2021-04-01,Sweden,9,0,0,0,0
2021-04-02,Afghanistan,31,6,0,0,0
2021-04-02,Japan,89,33,0,0,0
2021-04-02,Sweden,6,3,0,0,0
2021-04-03,Afghanistan,22,15,0,0,0
2021-04-03,Japan,67,55,0,0,0
2021-04-03,Sweden,1,8,0,0,0
2021-04-04,Afghanistan,17,20,0,0,0
2021-04-04,Japan,47,75,0,0,0
2021-04-04,Sweden,0,9,0,0,0
2021-04-05,Afghanistan,11,26,0,0,0
2021-04-05,Japan,35,87,0,0,0
2021-04-05,Sweden,0,9,0,0,0
2021-04-06,Afghanistan,10,21,5,1,0
2021-04-06,Japan,25,64,15,18,0
2021-04-06,Sweden,0,6,2,1,0
2021-04-07,Afghanistan,9,13,11,4,0
2021-04-07,Japan,20,47,26,29,0
2021-04-07,Sweden,0,1,5,3,0
2021-04-08,Afghanistan,9,8,13,7,0
2021-04-08,Japan,12,35,37,38,0
2021-04-08,Sweden,0,0,6,3,0
2021-04-09,Afghanistan,7,4,16,10,0
2021-04-09,Japan,10,25,45,42,0
2021-04-09,Sweden,0,0,6,3,0
2021-04-10,Afghanistan,5,5,17,10,0
2021-04-10,Japan,8,17,49,48,0
2021-04-10,Sweden,0,0,6,3,0
2021-04-11,Afghanistan,4,5,17,11,0
2021-04-11,Japan,6,14,50,52,0
2021-04-11,Sweden,0,0,6,3,0
2021-04-12,Afghanistan,3,6,17,11,0
2021-04-12,Japan,4,8,54,56,0
2021-04-12,Sweden,0,0,6,3,0
2021-04-13,Afghanistan,1,6,18,12,0
2021-04-13,Japan,3,7,54,58,0
2021-04-13,Sweden,0,0,6,3,0
2021-04-14,Afghanistan,1,4,19,13,0
2021-04-14,Japan,3,5,55,59,0
2021-04-14,Sweden,0,0,6,3,0
2021-04-15,Afghanistan,1,3,19,14,0
2021-04-15,Japan,3,3,56,60,0
2021-04-15,Sweden,0,0,6,3,0
2021-04-16,Afghanistan,1,2,20,14,0
2021-04-16,Japan,3,1,57,61,0
2021-04-16,Sweden,0,0,6,3,0
2021-04-17,Afghanistan,1,0,21,15,0
2021-04-17,Japan,1,2,58,61,0
2021-04-17,Sweden,0,0,6,3,0
2021-04-18,Afghanistan,0,1,21,15,0
2021-04-18,Japan,0,3,58,61,0
2021-04-18,Sweden,0,0,6,3,0
2021-04-19,Afghanistan,0,1,21,15,0
2021-04-19,Japan,0,3,58,61,0
2021-04-19,Sweden,0,0,6,3,0
2021-04-20,Afghanistan,0,1,16,20,0
2021-04-20,Japan,0,3,43,71,5
2021-04-20,Sweden,0,0,4,4,1
2021-04-21,Afghanistan,0,1,10,24,2
2021-04-21,Japan,0,1,34,82,5
2021-04-21,Sweden,0,0,1,7,1
2021-04-22,Afghanistan,0,0,8,27,2
2021-04-22,Japan,0,0,24,90,8
2021-04-22,Sweden,0,0,0,8,1
2021-04-23,Afghanistan,0,0,5,30,2
2021-04-23,Japan,0,0,16,98,8
2021-04-23,Sweden,0,0,0,8,1
2021-04-24,Afghanistan,0,0,4,31,2
2021-04-24,Japan,0,0,12,100,10
2021-04-24,Sweden,0,0,0,8,1
2021-04-25,Afghanistan,0,0,4,31,2
2021-04-25,Japan,0,0,11,101,10
2021-04-25,Sweden,0,0,0,8,1
2021-04-26,Afghanistan,0,0,4,31,2
2021-04-26,Japan,0,0,7,105,10
2021-04-26,Sweden,0,0,0,8,1
2021-04-27,Afghanistan,0,0,3,32,2
2021-04-27,Japan,0,0,7,105,10
2021-04-27,Sweden,0,0,0,8,1
2021-04-28,Afghanistan,0,0,2,33,2
2021-04-28,Japan,0,0,6,106,10
2021-04-28,Sweden,0,0,0,8,1
2021-04-29,Afghanistan,0,0,2,33,2
2021-04-29,Japan,0,0,5,107,10
2021-04-29,Sweden,0,0,0,8,1
2021-04-30,Afghanistan,0,0,1,34,2
2021-04-30,Japan,0,0,4,108,10
2021-04-30,Sweden,0,0,0,8,1
2021-05-01,Afghanistan,0,0,0,35,2
2021-05-01,Japan,0,0,3,109,10
2021-05-01,Sweden,0,0,0,8,1
2021-05-02,Afghanistan,0,0,0,35,2
2021-05-02,Japan,0,0,3,109,10
2021-05-02,Sweden,0,0,0,8,1
2021-05-03,Afghanistan,0,0,0,35,2
2021-05-03,Japan,0,0,3,109,10
2021-05-03,Sweden,0,0,0,8,1
2021-05-04,Afghanistan,0,0,0,35,2
2021-05-04,Japan,0,0,3,109,10
2021-05-04,Sweden,0,0,0,8,1
2021-05-05,Afghanistan,0,0,0,35,2
2021-05-05,Japan,0,0,1,110,11
2021-05-05,Sweden,0,0,0,8,1
2021-05-06,Afghanistan,0,0,0,35,2
2021-05-06,Japan,0,0,0,111,11
2021-05-06,Sweden,0,0,0,8,1
2021-05-07,Afghanistan,0,0,0,35,2
2021-05-07,Japan,0,0,0,111,11
2021-05-07,Sweden,0,0,0,8,1
2021-05-08,Afghanistan,0,0,0,35,2
2021-05-08,Japan,0,0,0,111,11
2021-05-08,Sweden,0,0,0,8,1
2021-05-09,Afghanistan,0,0,0,35,2
2021-05-09,Japan,0,0,0,111,11
2021-05-09,Sweden,0,0,0,8,1
2021-05-10,Afghanistan,0,0,0,35,2
2021-05-10,Japan,0,0,0,111,11
2021-05-10,Sweden,0,0,0,8,1
2021-05-11,Afghanistan,0,0,0,35,2
2021-05-11,Japan,0,0,0,111,11
2021-05-11,Sweden,0,0,0,8,1
2021-05-12,Afghanistan,0,0,0,35,2
2021-05-12,Japan,0,0,0,111,11
2021-05-12,Sweden,0,0,0,8,1
2021-05-13,Afghanistan,0,0,0,35,2
2021-05-13,Japan,0,0,0,111,11
2021-05-13,Sweden,0,0,0,8,1
2021-05-14,Afghanistan,0,0,0,35,2
2021-05-14,Japan,0,0,0,111,11
2021-05-14,Sweden,0,0,0,8,1
2021-05-15,Afghanistan,0,0,0,35,2
2021-05-15,Japan,0,0,0,111,11
2021-05-15,Sweden,0,0,0,8,1
2021-05-16,Afghanistan,0,0,0,35,2
2021-05-16,Japan,0,0,0,111,11
2021-05-16,Sweden,0,0,0,8,1
2021-05-17,Afghanistan,0,0,0,35,2
2021-05-17,Japan,0,0,0,111,11
2021-05-17,Sweden,0,0,0,8,1
2021-05-18,Afghanistan,0,0,0,35,2
2021-05-18,Japan,0,0,0,111,11
2021-05-18,Sweden,0,0,0,8,1
